Hosts,Host,Role,Portfolio,Date,Subject,Lobby Organisation,id
Jonathan Michael Hill Adrienn Kiraly,Adrienn Kiraly,Cabinet,Education,21/04/2015,Google Cultural Institute,Google,334
Jonathan Michael Hill Adrienn Kiraly,Jonathan Michael Hill,Cabinet,Education,21/04/2015,Google Cultural Institute,Google,336
Renate Nikolay,Renate Nikolay,Cabinet,Justice,21/04/2015,Mutual Legal Assistance,Microsoft,337
Bernardus Smulders,Bernardus Smulders,Cabinet,Better Regulation,22/04/2015,Evaluate Current EU regulatory and enforcement issues & digital single market,Apple,332
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,22/04/2015,DSM,Microsoft,333
Kaius Kristian Hedberg Fabrice Comptour Rolf Carsten Bermig,Fabrice Comptour,Cabinet,Internal Market,18/05/2015,Presentation of a study,Microsoft,329
Kaius Kristian Hedberg Fabrice Comptour Rolf Carsten Bermig,Kaius Kristian Hedberg,Cabinet,Internal Market,18/05/2015,Presentation of a study,Microsoft,330
Kaius Kristian Hedberg Fabrice Comptour Rolf Carsten Bermig,Rolf Carsten Bermig,Cabinet,Internal Market,18/05/2015,Presentation of a study,Microsoft,331
Director-General Robert Madelin,Robert Madelin,Director-General,Digital Economy,19/05/2015,Digital Single Market,Google,328
Grzegorz Radziejewski,Grzegorz Radziejewski,Cabinet,Jobs & Growth,19/05/2015,Digital Single Market,Google,327
Arunas Vinciunas,Arunas Vinciunas,Cabinet,Health,27/05/2015,Telemedicine,Google,326
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,28/05/2015,DSM & platforms,Google,325
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,29/05/2015,DSM,Microsoft,324
Bodo Lehmann,Bodo Lehmann,Cabinet,Digital Economy,03/06/2015,privacy; data protection,Google,322
Maria Da Graca Carvalho,Maria Da Graca Carvalho,Cabinet,Research,03/06/2015,"Meeting with Messrs Holzle, Lundblad & Socuvka",Google,323
Maria Elena Scoppio,Maria Elena Scoppio,Cabinet,Economics & Tax,04/06/2015,Current taxation issues,Apple,319
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,04/06/2015,Current taxation issues,Apple,321
Pauline Rouch,Pauline Rouch,Cabinet,Presidency,04/06/2015,Digital Single Market,Google,320
Anna Herold,Anna Herold,Cabinet,Digital Economy,09/06/2015,DSM,Microsoft,317
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,09/06/2015,"Copyright refrom, geo-blocking and platforms.",Microsoft,318
Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,18/06/2015,Platforms & NIS,Amazon,316
Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,23/06/2015,The antitrust investigation case against Google,Google,314
Director-General Vladimir Šucha,Vladimir Šucha,Director-General,Education,23/06/2015,Workshop Google - Innovation cycle in Google ATAP,Google,315
Alfredo Sousa De Jesus,Alfredo Sousa De Jesus,Cabinet,Research,23/06/2015,Meeting with Adam Cohen & Sylwia Giepmans,Google,313
Head of the EPSC Ann Mettler,Ann Mettler,Head of the EPSC,Presidency,28/06/2015,Women in technology,Facebook,312
Michael Hager,Michael Hager,Cabinet,Digital Economy,29/06/2015,DSM,Facebook,308
Director-General Robert Madelin,Robert Madelin,Director-General,Digital Economy,29/06/2015,DSM and AVMSD,Facebook,310
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,29/06/2015,"Digital Single Market, data protection and privacy",Facebook,306
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,29/06/2015,"Digital Single Market, data protection and privacy",Facebook,311
Renate Nikolay,Renate Nikolay,Cabinet,Justice,29/06/2015,Women and tech,Facebook,309
Commissioner Cecilia Malmström,Cecilia Malmström,Commissioner,Trade,29/06/2015,Digital trade,Facebook,307
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,30/06/2015,"Identity, Privacy and Security",Google,304
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,30/06/2015,copyright,Apple,305
Alfredo Sousa De Jesus,Alfredo Sousa De Jesus,Cabinet,Research,01/07/2015,"Opportunities and challenges in the field of transport, & work in the field of research.",Uber,303
Marlene Holzner,Marlene Holzner,Cabinet,Digital Economy,02/07/2015,DSM,Twitter,301
Diane Schmitt Sofia Asteriadi,Diane Schmitt,Cabinet,Home Affairs,02/07/2015,Preparation of the Internet Forum,Twitter,300
Diane Schmitt Sofia Asteriadi,Sofia Asteriadi,Cabinet,Home Affairs,02/07/2015,Preparation of the Internet Forum,Twitter,302
Director-General Robert Madelin,Robert Madelin,Director-General,Digital Economy,03/07/2015,DSM,Twitter,299
Maximilian Strotmann Hanna Hinrikus Juhan Lepassaar,Hanna Hinrikus,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,289
Maximilian Strotmann Juhan Lepassaar Hanna Hinrikus,Hanna Hinrikus,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,290
Juhan Lepassaar Maximilian Strotmann,Juhan Lepassaar,Cabinet,Digital Single Market,03/07/2015,"DSM, data, innovation",Twitter,291
Maximilian Strotmann Hanna Hinrikus Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,292
Maximilian Strotmann Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,03/07/2015,"DSM, data, innovation",Twitter,293
Maximilian Strotmann Juhan Lepassaar Hanna Hinrikus,Juhan Lepassaar,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,294
Juhan Lepassaar Maximilian Strotmann,Maximilian Strotmann,Cabinet,Digital Single Market,03/07/2015,"DSM, data, innovation",Twitter,295
Maximilian Strotmann Hanna Hinrikus Juhan Lepassaar,Maximilian Strotmann,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,296
Maximilian Strotmann Juhan Lepassaar,Maximilian Strotmann,Cabinet,Digital Single Market,03/07/2015,"DSM, data, innovation",Twitter,297
Maximilian Strotmann Juhan Lepassaar Hanna Hinrikus,Maximilian Strotmann,Cabinet,Digital Single Market,03/07/2015,DSM,Twitter,298
