code_circo,code_dpt,circo,departement,candidat,genre,site
76_2,76,2,Seine-Maritime,Gilles PATITUCCI,H,https://fnlegislatives.fr/candidats/gilles-patitucci/
94_6,94,6,Val-de-Marne,Gorete DE FREITAS,F,https://fnlegislatives.fr/candidats/gorete-de-freitas/
54_2,54,2,Meurthe-et-Moselle,Grégoire EURY,H,https://fnlegislatives.fr/candidats/gregoire-eury/
68_2,68,2,Haut-Rhin,Grégory STICH,H,https://fnlegislatives.fr/candidats/gregory-stich/
76_3,76,3,Seine-Maritime,Guillaume PENNELLE,H,https://fnlegislatives.fr/candidats/guillaume-pennelle/
75_6,75,6,Paris,Guy DEBALLE,H,https://fnlegislatives.fr/candidats/guy-deballe/
58_2,58,2,Nièvre,Harold BLANOT,H,https://fnlegislatives.fr/candidats/harold-blanot/
47_2,47,2,Lot-et-Garonne,Hélène PAIN,F,https://fnlegislatives.fr/candidats/helene-pain/
84_5,84,5,Vaucluse,Hervé de LÉPINAU,H,https://fnlegislatives.fr/candidats/herve-de-lepinau/
57_8,57,8,Moselle,Hervé HOFF,H,https://fnlegislatives.fr/candidats/herve-hoff/
67_6,67,6,Bas-Rhin,Hombeline DU PARC,F,https://fnlegislatives.fr/candidats/hombeline-du-parc/
59_16,59,16,Nord,Hortense de MÉREUIL,F,https://fnlegislatives.fr/candidats/hortense-de-mereuil/
93_9,93,9,Seine-Saint-Denis,Huguette FATNA,F,https://fnlegislatives.fr/candidats/huguette-fatna/
75_7,75,7,Paris,Isabelle COCHARD,F,https://fnlegislatives.fr/candidats/isabelle-cochard/
73_4,73,4,Savoie,Isabelle FÉTU,F,https://fnlegislatives.fr/candidats/isabelle-fetu/
88_2,88,2,Vosges,Isabelle GÉRARD,F,https://fnlegislatives.fr/candidats/isabelle-gerard/
94_5,94,5,Val-de-Marne,Isabelle HUGUENIN-RICHARD,F,https://fnlegislatives.fr/candidats/isabelle-huguenin-richard/
17_4,17,4,Charente-Maritime,Isabelle TEXIER,F,https://fnlegislatives.fr/candidats/isabelle-texier/
62_9,62,9,Pas-de-Calais,Jacques DELAIRE,H,https://fnlegislatives.fr/candidats/jacques-delaire/
02_4,2,4,Aisne,Jean MESSIHA,H,https://fnlegislatives.fr/candidats/jean-messiha/
10_2,10,2,Aube,Jean-Christophe LEFÈVRE,H,https://fnlegislatives.fr/candidats/jean-christophe-lefevre/
999_6,999,6,Français établis hors de France,Jean-Claude Marchand,H,https://fnlegislatives.fr/candidats/jean-claude-marchand/
11_2,11,2,Aude,Jean-François Daraud,H,https://fnlegislatives.fr/candidats/jean-francois-daraud/
