code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
53_3,,,,,53,3
54_1,Nordine Jouira,H, ,,54,1
54_2,Nassima Faiq,F,Matthieu Ziegler,H,54,2
54_3,Marie Legus,F,Patrice Zolfo,H,54,3
54_4,Vincent Guenaire-Doazan,H,Véronique Nobili,F,54,4
54_5,Rodolphe Bauer,H,CLAIRE Prignon,F,54,5
54_6,Caroline Fiat,F,Marc Didier,H,54,6
55_1,Guy JEANNESSON,H,Diana Ciszewski,F,55,1
55_2,Michaël Clément,H, ,,55,2
56_1,Céline Marie Lorène Meneses Delgado née Aumont,F,ALAIN BOUXIN,H,56,1
56_2,David JAN,H,Margot Balech,F,56,2
56_3,Marie-Madeleine Dore Lucas,H,Bruno BRAVO,F,56,3
56_4,Cécile Buchet,F,quentin Schillé,H,56,4
56_5,Alexandre Scheuer,H,Marie-Lise Lepez,F,56,5
56_6,DAVID Guillemet,H,Gaëlle Chammings Brulon,F,56,6
57_1,Narjès Chouikha,F,François Fauve,H,57,1
57_2,Claudine POIRSON,F,Christian Marques,H,57,2
57_3,Denis Maciazek,H,Margaux Sillet,F,57,3
57_4,,,,,57,4
57_5,Brigitte Blang,F, ,,57,5
57_6,Jonathan Outomuro,H, ,,57,6
57_7,Virginie Diebold,F, ,,57,7
57_8,Lionel Buriello,H,Céline Léger,F,57,8
57_9,,,,,57,9
58_1,Marie-Claude Taurel,F,Martin Boutet,H,58,1
58_2,Marie-Anne Guillemain-Boudon,F, ,,58,2
59_1,Adrien QUATENNENS,H,Agnès Pinson,F,59,1
59_10,Adélie Cormont,F,Maurice Devloo,H,59,10
59_11,Sébastien Polveche,H,Marie-Pierre Choquel,F,59,11
59_12,Laurent Courtois,H,Marine Desrousseaux,F,59,12
59_13,,,,,59,13
59_14,Delphine Decoster,F,Daniel Cordiez,H,59,14
59_15,Hervé Walraeve,H,Valérie Gyzelinck,F,59,15
59_16,Marina Dabonneville,F,Raphaël Brice,H,59,16
59_17,François Guiffard,H,Claudine AUGUSTE,F,59,17
59_18,Thérèse-Marie Cardon,F,Sébastien Maréchal,H,59,18
59_19,Julien Poix,H,Françoise Dupont Cunin,F,59,19
59_2,Ugo Bernalicis,H,Anne Cliche dite Conti,F,59,2
59_20,David Richer,H,Christine Dufner,F,59,20
59_21,Ophélie Tricot,F,Rossano Pulpito,H,59,21
59_3,Aurélien Motte,H, ,,59,3
59_4,Jean-Pierre HOUBRON,H,Cassandre Defosse,F,59,4
59_5,Lucile Caplier,F, ,,59,5
59_6,Amandine Fouillard,F,Mustapha Ben Mechedal,H,59,6
59_7,Yann Merlevède,H,Sophie Leblanc,F,59,7
59_8,Paul-Vincent Zilmia,H, ,,59,8
59_9,Ninon VAN ISTERDAEL,F,Jean-Louis Van-de-Wiele,H,59,9
60_1,Fabien Navez,H,Alizé Piquant,F,60,1
60_2,Philippe Virolle,H,Marie Lemmet,F,60,2
60_3,Karine Monségu,F,Guy Friadt,H,60,3
60_4,Martin Battaglia,H,Julie Demesse,F,60,4
60_5,Nadine Courtois,F,Laurent Grenier,H,60,5
60_6,Géraldine Minet,F,Jacques Delhay,H,60,6
60_7,Marie-Laure Darrigade,F,Cédric Dufourt,H,60,7
61_1,Martine Hamel,F,Patrick Berrier,H,61,1
61_2,Jean-Claude MARIE,H,Sylvie Quinton-Barbeau,F,61,2
61_3,Clément Bujarrabal,H,Martine Monteggia,F,61,3
62_1,,,,,62,1
62_10,,,,,62,10
62_11,Jean-Pierre CARPENTIER,H,Marie-Françoise Gonzales,F,62,11
62_12,Sylvain Wavelet,H, ,,62,12
62_2,Caroline Delplace,F,Philippe Audegond,H,62,2
62_3,Djordje Kuzmanovic,H,Lynda Kebbas,F,62,3
62_4,Sarah Regnier,F, ,,62,4
62_5,Alain Berthault,H, ,,62,5
62_6,Nadine Demarey,F, ,,62,6
62_7,Jean-Philippe Lannoy,H,Anne-Sophie LIGNIERT,F,62,7
62_8,CASIMIR LETELLIER,H,Hélène Roche,F,62,8
62_9,,,,,62,9
63_1,Alain Laffont,H,Naïs Sabatier,F,63,1
63_2,Pascal Estier,H, ,,63,2
63_3,Marc Chovin,H,Stéphanie Burias,F,63,3
63_4,CATHERINE MOLLET,F,Laurent Béal,H,63,4
63_5,Katia Rolland,F,Cyril Le Pont,H,63,5
64_1,Séverine Ghedjati,F,Thierry Moutou,H,64,1
64_2,Claude Gout,H,Gwendoline Avanthey,F,64,2
64_3,Eric Lytwyn,H,Julie Ledemé,F,64,3
64_4,Didier Bayens,H,Marie Agras,F,64,4
64_5,Jérémy Farge,H,Patricia Leuenberger,F,64,5
64_6,Christine Labrousse,F,BENITO ZUBELDIA,H,64,6
65_1,Sylvie FERRER,F,Manuel MOUTOUSSAMY,H,65,1
65_2,Charles Rocheteau,F,Marie-josé Crémades Sanchez,H,65,2
66_1,Alain Mih,H,Carole Gohier,F,66,1
66_2,Catherine DAVID,F,Jean-Noël Clanet,H,66,2
66_3,Philippe Assens,H,Zoé Salmeron,F,66,3
66_4,Dominique-Christiane Guerin,F,Jérôme Pous,H,66,4
67_1,Jean-Marie Brom,H,Martine Kremmel,F,67,1
67_2,Christine Kaidi,F,Jimmy Brunet,H,67,2
