BUREAU DE VOTE,DEPARTEMENT,ARNAUD MONTEBOURG,MARTINE AUBRY,JEAN-MICHEL BAYLET,MANUEL VALLS,FRANCOIS HOLLANDE,SEGOLENE ROYAL,VOTES BLANCS,VOTES NULS
950006,95,42,51,0,10,65,6,0,0
950007,95,74,150,2,23,143,28,0,1
950008,95,45,85,1,18,105,18,0,0
950009,95,59,105,0,16,112,25,0,0
950010,95,74,152,0,46,149,19,0,0
950011,95,72,136,0,19,144,23,1,1
950012,95,72,136,0,19,144,23,1,1
950013,95,36,95,1,25,89,15,0,0
950014,95,57,110,1,27,140,19,0,0
950015,95,71,148,2,36,125,22,0,1
950016,95,92,201,2,43,205,37,0,0
950017,95,71,129,4,27,156,27,0,0
950018,95,60,105,3,23,111,20,0,2
950019,95,80,173,4,36,156,28,0,0
950020,95,115,169,6,18,152,17,0,4
950021,95,19,45,0,6,73,17,0,0
950022,95,46,96,1,20,103,19,0,0
950023,95,64,96,0,28,135,27,0,0
950024,95,32,63,2,31,153,12,0,0
950025,95,15,55,0,12,79,29,0,2
950026,95,35,59,4,28,92,28,1,1
950027,95,44,81,1,11,119,15,0,0
950028,95,60,105,3,23,111,20,0,2
950029,95,83,153,2,38,209,30,0,2
950030,95,42,113,0,20,101,34,0,2
950031,95,34,67,0,12,64,7,0,0
950032,95,75,141,2,32,168,15,0,0
950033,95,33,94,1,28,218,58,0,0
950034,95,52,91,0,24,122,11,0,0
950035,95,42,113,0,20,101,34,0,2
950036,95,68,121,2,17,119,18,0,2
950037,95,36,75,0,19,99,34,0,1
950038,95,56,91,0,19,120,33,0,0
950039,95,65,83,2,14,84,19,0,1
950040,95,43,61,2,16,92,20,0,3
950041,95,67,145,1,27,125,33,0,0
950042,95,57,120,2,21,102,31,0,2
950043,95,44,90,1,14,113,30,0,3
950044,95,23,70,0,9,125,57,0,6
950045,95,72,157,3,41,135,43,0,2
950046,95,69,118,3,45,181,33,0,0
950047,95,18,65,0,6,53,21,4,0
950048,95,13,31,2,12,84,15,0,3
950049,95,27,89,2,10,100,29,0,1
950050,95,8,55,1,7,63,11,1,2
950051,95,26,63,0,7,94,15,0,0
950052,95,27,89,2,10,100,29,0,1
950053,95,12,71,0,1,70,16,0,1
950054,95,77,89,3,17,123,29,0,0
950055,95,43,68,1,11,104,13,0,0
950056,95,44,107,0,32,168,19,1,0
950057,95,34,66,3,12,100,15,0,4
950058,95,62,131,0,29,131,31,0,0
950059,95,30,84,2,22,116,22,0,1
950060,95,52,91,0,24,122,11,0,0
950061,95,34,80,0,11,83,23,0,1
950062,95,15,55,0,12,79,29,0,2
950063,95,50,66,0,16,132,23,0,1
950064,95,35,79,0,28,141,28,0,1
950065,95,41,70,2,15,136,31,0,0
950066,95,53,96,0,27,140,37,0,2
950067,95,52,166,1,26,166,27,0,0
950068,95,52,86,0,19,118,12,0,0
950069,95,99,171,4,44,177,33,0,0
950070,95,29,103,0,17,83,41,0,1
950071,95,42,109,2,19,99,36,0,0
950072,95,45,80,0,15,93,17,0,0
950073,95,36,98,1,13,90,18,0,0
950074,95,43,84,0,24,92,16,0,1
950075,95,109,198,1,43,238,37,0,2
950076,95,50,103,1,23,107,32,0,0
950077,95,18,58,0,13,67,15,0,0
950078,95,60,124,1,34,146,27,0,1
950079,95,75,132,2,29,145,15,0,0
950080,95,60,139,1,25,124,24,0,2
950081,95,24,50,2,10,62,19,0,1
950082,95,18,45,0,7,47,8,1,0
950083,95,99,170,3,39,244,21,1,4
950084,95,52,73,1,22,113,12,0,2
950085,95,30,82,0,13,97,20,0,0
950086,95,39,118,3,27,128,24,0,1
950087,95,14,40,1,13,50,6,0,0
950088,95,58,127,1,18,112,26,0,0
950089,95,104,200,3,35,264,62,0,1
950090,95,48,123,1,14,145,31,0,2
950091,95,44,170,0,17,162,43,0,0
950092,95,61,115,1,22,111,26,0,1
950093,95,44,70,1,34,121,18,0,1
950094,95,76,120,0,29,167,40,0,0
950095,95,41,56,0,15,86,16,1,1
950096,95,89,197,4,35,164,18,0,0
950097,95,31,85,0,7,75,24,0,0
950098,95,39,91,1,17,96,23,0,1
950099,95,42,91,1,12,74,15,0,2
950100,95,66,179,1,24,202,48,0,1
950101,95,25,95,2,7,88,22,2,2
950102,95,61,121,3,18,109,23,0,0
950103,95,45,80,0,15,93,17,0,0
950104,95,61,151,1,28,218,58,0,2
950105,95,13,57,1,14,52,15,0,1
950106,95,22,69,1,11,106,22,0,4
