Avantage,Montant,Date,Nature,Desc.,Catégorie,Prénom,Nom,Fonction / Profession,Adresse professionnelle,Compl. adresse,Compl. adresse,Code postal,Ville,Pays
Avantage 27,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Elisabeth,Lamure,Sénatrice,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 31,France
Avantage 28,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jean-François,Mancel,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 29,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Pierre,Morel A L'Huissier,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 30,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Pierre-Alain,Muet,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 31,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Patrick,Ollier,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 32,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jacques,Pélissard,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 33,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Michel,Raison,Sénateur,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 32,France
Avantage 34,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Marcel,Rogemont,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 35,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,André,Santini,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 36,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jean-Pierre,Sueur,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 33,France
Avantage 37,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Laurent,Wauquiez,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 38,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Eric,Woerth,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
