Département,Circo,Id Circo,FN investi,PS investi,En Marche investi,UDI investi,LR investi,EE-LV investi,Sortant,Première élection
13,7,13_7,,Henri JIBRAYEL,,Arlette Fructus,,,Henri Jibrayel,2007
26,1,26_1,Bernard SIRONNEAU,Jean-Pierre VEYRET,,,Marlène Mourier,Hélène Le Gardeur,Patrick Labaune,1993
50,2,50_2,Marie-Françoise KURDZIEL,,,,Guénhaël Huet,,Guénhaël Huet,2007
69,2,69_2,David TABELION,,,Denis Broliquier,Laurence Balas,Rémi Zinck,Pierre-Alain Muet,2007
13,9,13_9,,Stéphanie HARKANE,,,Bernard Deflesselles,Johan Laflotte,Bernard Deflesselles,1999
19,2,19_2,,Philippe NAUCHE,,Jean Marc Comas,Frédérique Meunier,,Philippe Nauche,1997
94,5,94_5,Isabelle HUGUENIN-RICHARD,Caroline ADOMO,,,Gilles Carrez,Bruno Le Corre,Gilles Carrez,1993
59,1,59_1,Eric DILLIES,François LAMY,,Nicolas Lebas,Caroline Vannier,Anne Mikolajczak,Bernard Roman,1997
47,3,47_3,Etienne BOUSQUET-CASSAGNE,Guillaume MOLIERAC,,,Jean-Louis Costes,Lionel Feuillas,Jérôme Cahuzac,1997
37,5,37_5,Daniel Fraczak,,,,Philippe Briand,,Philippe Briand,1993
72,5,72_5,Eric de VILMAREST,Christophe ROUILLON,,,Jean-Carles Grelier,Sophie Bringuy,Dominique Le Mèner,2002
93,5,93_5,Jean-François PERIER,Valérie MERY FRITZ,,Jean-Christophe Lagarde,,,Jean-Christophe Lagarde,2002
59,16,59_16,Hortense de MÉREUIL,Frédéric DELANNOY,,,Nacéra Soltani,Philippe Bernard,Jean-Jacques Candelier,2007
82,2,82_2,Romain LOPEZ,,,Pierre Mardegan,Mathieu Albugues,Dominique Parcellier,Sylvia Pinel,
59,21,59_21,Valérie CAUDRON,Christine LAURENT,,,,Pauline Pottier,Jean-Louis Borloo,1993
51,4,51_4,Thierry BESSON,Rudy NAMUR,,,Benoist Apparu,,Benoist Apparu,2007
62,10,62_10,Ludovic PAJOT,Bernard CAILLIAU,,,Nesredine Ramdani,Lisette Sudic,Serge Janquin,1993
57,8,57_8,Hervé HOFF,Michel LIEBGOTT,,Isabelle Rauch,,Pascal Didier,Michel Liebgott,1997
93,3,93_3,Patrice VELLA,,,Marylise Martins,Christian Demuynck,Eric Manfredi,Michel Pajon,1996
31,1,31_1,,Catherine LEMORTON,,Benjamin Vignau,Francois Chollet,,Catherine Lemorton,2007
49,2,49_2,,,,Marie Caillaud,Maxence Henry,,Marc Goua,2007
83,1,83_1,Amaury Navarranne,Valentin GIES,,,Geneviève Levy,,Geneviève Levy,2002
38,5,38_5,Muriel BURGAZ,Eliane GIRAUD,,,Philippe Langenieux-Villard,,François Brottes,1997
76,9,76_9,Geneviève SALVISBERG,Estelle GRELIER,,Didier Peralta,Clarisse Coufourier,,Jacques Dellerie,2016
972,3,972_3,,,,,Miguel Laventure,,Serge Letchimy,2007
91,2,91_2,Valérie GIRARD,,,,Franck Marlin,Patrick Polverelli,Franck Marlin,1995
85,4,85_4,,,,Wilfrid Montassier,,Claudine Goichon,Véronique Besse,2005
14,2,14_2,Sabrina Joret,Laurence DUMONT,,Claude Gallard,Aminthe Renouf,Noëlle Le Maulf,Laurence Dumont,1997
74,1,74_1,Brigitte THIERY-AUDUBERT,,,,Bernard Accoyer,Jean-Jacques Bouchet,Bernard Accoyer,1993
71,5,71_5,Lilian Noirot,Christophe SIRUGUE,,Isabelle Dechaume,Gilles Platret,François Lotteau,Christophe Sirugue,2007
13,1,13_1,,Gérard OREGGIA,,,Valérie Boyer,,Valérie Boyer,2007
32,2,32_2,,Gisèle BIEMOURET,,Karine Mouton,Barbara Neto,,Gisèle Biémouret,2007
74,2,74_2,Vincent Lecaillon,,,,Lionel Tardy,Jeanie Tremblay,Lionel Tardy,2007
63,4,63_4,Sylwia Powarunas,Sylvie MAISONNET,,Hervé Prononce,Bertrand Barraud,Jean Baptiste Pegeon,Jean-Paul Bacquet,1997
38,1,38_1,,,,Jean-Damien Mermillod- Blondin,,,Geneviève Fioraso,2007
31,2,31_2,,Gérard BAPT,,Hervé Boco,Christine Gennaro-Saint,Cécile Peguin,Gérard Bapt,1978
68,5,68_5,Christelle RITZ,Abdellatif TIMDOUINE,,,Olivier Becht,Florence Peter,Arlette Grosskost,2002
45,4,45_4,Ludovic Marchetti,Jalila GABORET,,,Jean-Pierre Door,,Jean-Pierre Door,2002
49,4,49_4,Aymeric MERLAUD,Meriem BABA,,Eric Touron,,,Michel Piron,2002
27,4,27_4,,Richard JACQUET,,François Xavier Priollaud,,,François Loncle,1981
75,12,75_12,Agnès VANDENBROUCK,Florian SITBON,,,Philippe Goujon,,Philippe Goujon,1993
74,3,74_3,Nathalie GENAND,,,,Martial Saddier,Jacques Venjean,Martial Saddier,2002
66,2,66_2,Louis ALIOT,Marie-Pierre SADOURNY,,,Fernand Siré,Véronika Daae,Fernand Siré,2010
76,7,76_7,Stéphanie FERRAND,Matthieu BRASSE,,,Agnès Firmin Le Bodo,Alexis Deck,Edouard Philippe,2012
68,1,68_1,Marie-Hélène de LACOSTE-LAREYMONDIE,,,,Éric Straumann,Frédéric Hilbert,Éric Straumann,2007
69,13,69_13,Sandrine LIGOUT,Françoise BERGAME,,,Philippe Meunier,,Philippe Meunier,2007
93,10,93_10,Maurice Puisard,Daniel GOLDBERG,,Sabrina Assayag,Alain Ramadier,,Daniel Goldberg,2007
91,1,91_1,Danielle OGER,,,,Caroline Varin,Jacques Picard,Manuel Valls,2002
59,11,59_11,Nathalie ACS,Roger VICOT,,Christelle Delebarre,Karine Charbonnier-Beck,Lise Daleux,Yves Durand,1988
53,1,53_1,Bruno de LA MORINIÈRE,Guillaume GAROT,,,Samia Soultani-Vigneron,Maël Rannou,Guillaume Garot,2007
77,7,77_7,Frédérique TROUSSARD,Stéphane JABUT,,,Yves Albarello,,Yves Albarello,2007
57,3,57_3,Françoise GROLET,Nathalie DE OLIVEIRA,,,Marie-Jo Zimmermann,,Marie-Jo Zimmermann,1998
94,2,94_2,Gaétan Marzo,,,Sylvie Smaniotto,Thierry Hebbrecht,Philippe Bouriachi,Laurent Cathala,1981
33,4,33_4,,Alain DAVID,,Hubert Laporte,,Laure Desvalois,Conchita Lacuey,1997
24,4,24_4,,Benjamin DELRIEUX,,Jean Pierre Bouchard,Jérôme Peyrat,François Coq,Germinal Peiro,1997
60,2,60_2,Gaëtan DUSSAUSAYE,,,,Jean-François Mancel,François Veillerette,Jean-François Mancel,1978
70,2,70_2,Maurice MONNIER,Jérôme LAROCHE,,Jean Luc Habermacher,Isabelle Géhin,Corinne Guyonnet,Jean-Michel Villaumé,2007
94,11,94_11,Alexandre GABORIT,,,,Audrey Gaudron,Marianne Jaouen,Jean-Yves Le Bouillonnec,2002
80,4,80_4,Eric RICHERMOZ,,,,Alain Gest,Martial Mouqueron,Alain Gest,1993
34,5,34_5,,Marie PASSIEUX,,Philippe Huppe,Catherine Rouillé-Pasquali,,Kléber Mesquida,2002
25,4,25_4,,Frédéric BARBIER,,Claudine Gaillard,Valère Nedey,Anna Maillard,Pierre Moscovici,1997
13,11,13_11,,,,,Christian Kert,,Christian Kert,1988
06,4,06_4,,,,,Xavier Beck,Laurent Lanquar-Castiel,Jean-Claude Guibal,1997
974,2,974_2,Marie-Line HOARAU,Salim NANA IBRAHIM,,Bachil Valy,Cyril Melchior,Charles Moyac,Huguette Bello,1997
37,2,37_2,Stanislas de La Ruffie,Isabelle GAUDRON,,,Claude Greff,Eric Beaugendre,Claude Greff,2002
62,3,62_3,José EVRARD,Frédérique MASSON,,Bruno Ducastel,Sabine Banach,Jamel Oufqir,Guy Delcourt,2007
67,5,67_5,Eliane KLEIN,,,,Antoine Herth,,Antoine Herth,2002
46,2,46_2,Virginie CASTAGNOL,Vincent LABARTHE,,Antoine Loredo,,,Jean Launay,1998
56,5,56_5,Christian MOUTON,Gwendal ROUILLARD,,Téaki Dupont,Marie-Claude Gaudin,Damien Girard,Gwendal Rouillard,2011
50,4,50_4,Jean-Jacques NOËL,Arnaud CATHERINE,,Thierry Hélie,,Jean-Sébastien Hederer,Bernard Cazeneuve,1997
29,2,29_2,,Patricia ADAM,,Nathalie Colovatti,Véronique Bourbigot,,Patricia Adam,2002
2B,1,2B_1,,,,,Sauveur Gandolfi-Scheit,Jean-Luc Luciani,Sauveur Gandolfi-Scheit,2007
31,4,31_4,Maïthé CARSALADE,Martine MARTINEL,,Chantal Gauthier,Bertrand Serp,Abdelkader Laroui,Martine Martinel,2007
52,1,52_1,Fabienne Cudel,,,,Luc Chatel,,Luc Chatel,2002
33,2,33_2,,Michèle DELAUNAY,,Ludovic Bousquet,Anne Valryck,,Michèle Delaunay,2007
21,5,21_5,,,,,Alain Suguenot,Carole Bernhard,Alain Suguenot,1993
92,7,92_7,Lucia LAPORTE,,,,Eric Berdoati,,Patrick Ollier,1988
53,3,53_3,Monique MORAND,,,Yannick Favennec,,,Yannick Favennec,2002
69,10,69_10,Agnès MARION,,,,Christophe Guilloteau,Victor Fornito,Christophe Guilloteau,2003
68,4,68_4,Alain FAVALETTO,,,,Michel Sordi,Michel Knoerr,Michel Sordi,2002
63,5,63_5,Jérôme Jayet,Gérard BETENFELD,,Florence Duparc Dinoaurd,Myriam Fougere,Claire Lespagnol,André Chassaigne,2002
91,9,91_9,Thiebauld VEGA,Romain COLAS,,Faten Hidri,Véronique Carantois,Jean-Marc Pasquet,Romain Colas,2014
06,5,06_5,,Chaama GRAILLAT,,,Marine Brenier,,Marine Brenier,2016
12,3,12_3,,,,,Arnaud Viala,,Arnaud Viala,2015
45,1,45_1,Colette Poltaratsky,Olivier JOUIN,,,Charles-Eric Lemaignen,,Olivier Carré,2007
08,3,08_3,Amandine Blomme,Didier HERBILLON,,,Jean-Luc Warsmann,,Jean-Luc Warsmann,1995
78,6,78_6,Didier ROUXEL,Angéline SILLY,,,Pierre Morange,Stéphanie Belna,Pierre Morange,1999
77,9,77_9,Pascal Fiandrin,Monique DELESSARD,,,Guy Geoffroy,,Guy Geoffroy,2002
77,3,77_3,Aymeric Durox,Marie-Laure FAGES,,Yves Jego,,,Yves Jégo,2002
33,11,33_11,,Michèle LACOSTE,,Anne Marie Verit,Chantal Dugourd,Henri Plande,Philippe Plisson,2007
80,5,80_5,Loïc GRIMAUX,Benjamin LUCAS,,Stéphane Demilly,,Karine Corne-Hiver,Stéphane Demilly,2002
15,2,15_2,,,,,Alain Marleix,Elise Brugiere,Alain Marleix,1993
24,3,24_3,,Colette LANGLADE,,Jean Michel Faure,Isabelle Hyvoz,Maryline Forgeneuf,Colette Langlade,2008
44,2,44_2,,Alain ROBERT,Valérie Oppelt,Patrice Bolo,Sébastien Pilard,Pascale Chiron,Marie-Françoise Clergeau,1997
