Ministère,Année,Dpt. d'origine,Bénéficiaire,Objet,Objectif,Subvention
Sports,2015,59,ASSOCIATION LA RHONELLE CDJ VILLEREAU,Championnat de France UFOLEP section volley,soutien au développement de la pratique sportive,2000
Sports,2015,59,ENTENTE SPORTIVE LILLE LOUVIERE PELLEVOISIN,participation équipe de jeunes à un tournoi international à Biarritz,soutien au développement de la pratique sportive,2000
Sports,2016,59,ACADEMIE DE BOXE FRANCAISE RONCHIN,Finale du championnat de France jeunes,soutien au développement de la pratique sportive,2000
Sports,2016,59,MAIRIE D'ORS,Championnats de France de joutes,soutien au développement de la pratique sportive,2000
Sports,2015,66,COMITE DEPARTEMENTAL DE SPORT ADAPTE PYRENEES ATLANTIQUES,Championnat de fran ce de ski,soutien au développement de la pratique sportive,2000
Sports,2016,69,SAINT GEORGES DE RENEINS,,,2000
Sports,2013,75,PARIS FOOT EMPLOI,soutien à une manifestation sportive,soutien au développement de la pratique sportive,2000
Sports,2015,75,ASSOCIATION ECHIQUEENNE POUR LES AVEUGLES,Championnat d'Europe 2015 - Lyon,soutien au développement de la pratique sportive,2000
Sports,2013,76,CLUB HOCKEY SUR GLACE AMATEUR ROUEN ,Participation benjamins tournoi international PEE WEE,soutien au développement de la pratique sportive,2000
Sports,2014,76,FEDERATION SPORTIVE GAIE ET LESBIENNE,Participation à la 9ème édition des gay games,soutien au développement de la pratique sportive,2000
Sports,2016,82,LA FRANCAISE DE NATATION,"Opération ""J'apprends à nager""",soutien à l'apprentissage de la natation aux enfants,2000
Sports,2015,92,PENELOPE MORGANE PRODUCTION,Réalisation d'un documentaire,Promotion du sport féminin,2000
Sports,2016,76,ASSOCIATION UNIES POUR ELLES,"Manifestation ""Hong Kong China Dragon""",soutien au développement de la pratique sportive,2000
Sports,2016,40,ASS. LE COLOSSE AUX PIEDS D'ARGILE,Sensibilisation aux risques pédophiles ,,1500
