code_circo,nom,genre
34_9,Stephan Rossignol,H
80_1,Stéphane Decayeux,H
71_4,Stéphane Gros,H
13_14,Stéphane Paoli,H
88_1,Stéphane Viry,H
63_2,Stéphanie Flori-Dutour,H
2B_2,Stéphanie Grimaldi,H
94_1,Sylvain Berrios,H
94_2,Thierry Hebbrecht,H
59_6,Thierry Lazaro,H
999_11,Thierry Mariani,H
92_9,Thierry Solere,H
25_4,Valère Nedey,H
38_10,Vincent Chriqui,H
15_1,Vincent Descoeur,H
94_7,Vincent Jeanbrun,H
59_10,Vincent Ledoux,H
75_7,Vincent Roger,H
18_1,Wladimir d'Ormesson,H
06_4,Xavier Beck,H
01_1,Xavier Breton,H
89_2,Xavier Courtois,H
93_12,Xavier Lemoine,H
85_3,Yannick Moreau,H
77_7,Yves Albarello,H
12_1,Yves Censi,H
33_12,Yves d’Amecourt,H
33_8,Yves Foulon,H
13_5,Yves Moraine,H
999_10,Alain Marsaud,H
61_2,Véronique Louwagie,F
